WAARNEMINGDATUM;WAARNEMINGTIJD (MET/CET);;NUMERIEKEWAARDE
16-2-2022;00:00:00;16-2-2022 00:00;-16
16-2-2022;00:10:00;16-2-2022 00:10;-10
16-2-2022;00:20:00;16-2-2022 00:20;-2
16-2-2022;00:30:00;16-2-2022 00:30;9
16-2-2022;00:40:00;16-2-2022 00:40;20
16-2-2022;00:50:00;16-2-2022 00:50;32
16-2-2022;01:00:00;16-2-2022 01:00;44
16-2-2022;01:10:00;16-2-2022 01:10;58
16-2-2022;01:20:00;16-2-2022 01:20;73
16-2-2022;01:30:00;16-2-2022 01:30;89
16-2-2022;01:40:00;16-2-2022 01:40;102
16-2-2022;01:50:00;16-2-2022 01:50;114
16-2-2022;02:00:00;16-2-2022 02:00;125
16-2-2022;02:10:00;16-2-2022 02:10;132
16-2-2022;02:20:00;16-2-2022 02:20;137
16-2-2022;02:30:00;16-2-2022 02:30;139
16-2-2022;02:40:00;16-2-2022 02:40;138
16-2-2022;02:50:00;16-2-2022 02:50;136
16-2-2022;03:00:00;16-2-2022 03:00;132
16-2-2022;03:10:00;16-2-2022 03:10;128
16-2-2022;03:20:00;16-2-2022 03:20;124
16-2-2022;03:30:00;16-2-2022 03:30;120
16-2-2022;03:40:00;16-2-2022 03:40;117
16-2-2022;03:50:00;16-2-2022 03:50;114
16-2-2022;04:00:00;16-2-2022 04:00;109
16-2-2022;04:10:00;16-2-2022 04:10;104
16-2-2022;04:20:00;16-2-2022 04:20;99
16-2-2022;04:30:00;16-2-2022 04:30;93
16-2-2022;04:40:00;16-2-2022 04:40;86
16-2-2022;04:50:00;16-2-2022 04:50;79
16-2-2022;05:00:00;16-2-2022 05:00;73
16-2-2022;05:10:00;16-2-2022 05:10;66
16-2-2022;05:20:00;16-2-2022 05:20;59
16-2-2022;05:30:00;16-2-2022 05:30;51
16-2-2022;05:40:00;16-2-2022 05:40;43
16-2-2022;05:50:00;16-2-2022 05:50;34
16-2-2022;06:00:00;16-2-2022 06:00;26
16-2-2022;06:10:00;16-2-2022 06:10;19
